id,title,year,type,rated,runtime_min,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,rt_score,metacritic_score,mcu_phase,universe,decade,age_years,is_animated,is_tv_series,is_mcu_canon,tmdb_genres,tmdb_rating,tmdb_votes,popularity,top5_cast,directors,producers,composer,tmdb_keywords,production_countries,spoken_languages,episode_count,season_count,status,tagline,revenue_log,budget_log,box_office_log,document,cast_count,top_actor,IMDb,Metacritic,Rotten Tomatoes,TMDB
1,Captain America,1944,movie,Approved,117.0,"Action, Adventure, Sci-Fi","Elmer Clifton, John English","Royal K. Cole, Ronald Davidson, Basil Dickey","Dick Purcell, Lorna Gray, Lionel Atwill","Superhero Captain America battles the evil forces of the archvillain called The Scarab, who poisons his enemies and steals a secret device capable of destroying buildings by sound vibrations.",English,United States,Unknown,5.3,7.0431599159883405,76.0,64.0,Pre-MCU,Pre-MCU,1940s,81,0,0,0,"Action, Adventure, Science Fiction",5.4,3.5553480614894135,0.8143,"Dick Purcell, Lorna Gray, Lionel Atwill, Charles Trowbridge, Russell Hicks","John English, Elmer Clifton",Unknown,Unknown,"superhero, based on comic, masked vigilante, movie serial",United States of America,English,0.0,0.0,Released,Unknown,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Captain America
Year: 1944
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: Approved
Runtime: 244 minutes
Genre: Action, Adventure, Sci-Fi
Director: Elmer Clifton, John English
Writer: Royal K. Cole, Ronald Davidson, Basil Dickey
Cast: Dick Purcell, Lorna Gray, Lionel Atwill
Top 5 Cast: Dick Purcell, Lorna Gray, Lionel Atwill, Charles Trowbridge, Russell Hicks
Plot: Superhero Captain America battles the evil forces of the archvillain called The Scarab, who poisons his enemies and steals a secret device capable of destroying buildings by sound vibrations.
Tagline: 
Keywords: superhero, based on comic, masked vigilante, movie serial
IMDb Rating: 5.3
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 5.4
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: N/A
Country: United States
Language: English",13.0,Dick Purcell,5.3,6.004166666666666,6.603846153846154,5.4
2,The Amazing Spider-Man,1977,series,TV-PG,60.0,"Action, Adventure, Crime",Unknown,Unknown,"Nicholas Hammond, Robert F. Simon, Chip Fields","With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero.",English,United States,Unknown,6.2,7.929846429742503,76.0,64.0,Pre-MCU,Sony / Spider-Man,1970s,48,0,1,0,"Science Fiction, Action, Crime",6.3,5.3612921657094255,1.7517,"Nicholas Hammond, David White, Michael Pataki, Hilly Hicks, Lisa Eilbacher",E.W. Swackhamer,Edward Montagne,Craig Huxley,"mind control, new york city, photographer, secret identity, superhero, cult, based on comic, alter ego, crime spree, tv pilot",United States of America,English,0.0,0.0,Released,The world's favorite adventure super hero in live-action.,19.70742255161285,18.603002309079653,19.193787894917058,"Title: The Amazing Spider-Man
Year: 1977
Universe: Sony / Spider-Man
MCU Phase: Pre-MCU
Type: series
Rated: TV-PG
Runtime: 60 minutes
Genre: Action, Adventure, Crime
Director: N/A
Writer: N/A
Cast: Nicholas Hammond, Robert F. Simon, Chip Fields
Top 5 Cast: Nicholas Hammond, David White, Michael Pataki, Hilly Hicks, Lisa Eilbacher
Plot: With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero.
Tagline: The world's favorite adventure super hero in live-action.
Keywords: mind control, new york city, photographer, secret identity, superhero, cult, based on comic, alter ego, crime spree, tv pilot
IMDb Rating: 6.2
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 6.3
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Spider-Man (TV) Collection
Country: United States
Language: English",15.0,Nicholas Hammond,6.2,6.004166666666666,6.603846153846154,6.3
3,Spider-Man,1977,series,TV-PG,60.0,"Action, Adventure, Crime",Unknown,Unknown,"Nicholas Hammond, Robert F. Simon, Chip Fields","With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero.",English,United States,Unknown,6.2,7.929846429742503,76.0,64.0,Pre-MCU,Sony / Spider-Man,1970s,48,0,1,0,"Science Fiction, Action, Crime",6.3,5.3612921657094255,1.7517,"Nicholas Hammond, David White, Michael Pataki, Hilly Hicks, Lisa Eilbacher",E.W. Swackhamer,Edward Montagne,Craig Huxley,"mind control, new york city, photographer, secret identity, superhero, cult, based on comic, alter ego, crime spree, tv pilot",United States of America,English,0.0,0.0,Released,The world's favorite adventure super hero in live-action.,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Spider-Man
Year: 1977
Universe: Sony / Spider-Man
MCU Phase: Pre-MCU
Type: series
Rated: TV-PG
Runtime: 60 minutes
Genre: Action, Adventure, Crime
Director: N/A
Writer: N/A
Cast: Nicholas Hammond, Robert F. Simon, Chip Fields
Top 5 Cast: Nicholas Hammond, David White, Michael Pataki, Hilly Hicks, Lisa Eilbacher
Plot: With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero.
Tagline: The world's favorite adventure super hero in live-action.
Keywords: mind control, new york city, photographer, secret identity, superhero, cult, based on comic, alter ego, crime spree, tv pilot
IMDb Rating: 6.2
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 6.3
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Spider-Man (TV) Collection
Country: United States
Language: English",15.0,Nicholas Hammond,6.2,6.004166666666666,6.603846153846154,6.3
4,Dr. Strange,1978,movie,TV-PG,93.0,"Action, Fantasy",Philip DeGuere Jr.,"Philip DeGuere Jr., Steve Ditko, Stan Lee","Peter Hooten, Clyde Kusatsu, Jessica Walter",A psychiatrist becomes the new Sorcerer Supreme of the Earth in order to battle an evil Sorceress from the past.,English,United States,Unknown,5.1,7.732807530422021,76.0,64.0,Pre-MCU,Pre-MCU,1970s,47,0,0,0,"TV Movie, Action, Adventure, Fantasy, Science Fiction",6.038,4.770684624465665,0.9612,"Peter Hooten, Clyde Kusatsu, Jessica Walter, Anne-Marie Martin, Philip Sterling",Philip DeGuere Jr.,Alex Beaton,Paul Chihara,based on comic,United States of America,English,0.0,0.0,Released,Battle of the sorcerers burns the screen with electric flame,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Dr. Strange
Year: 1978
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 93 minutes
Genre: Action, Fantasy
Director: Philip DeGuere Jr.
Writer: Philip DeGuere Jr., Steve Ditko, Stan Lee
Cast: Peter Hooten, Clyde Kusatsu, Jessica Walter
Top 5 Cast: Peter Hooten, Clyde Kusatsu, Jessica Walter, Anne-Marie Martin, Philip Sterling
Plot: A psychiatrist becomes the new Sorcerer Supreme of the Earth in order to battle an evil Sorceress from the past.
Tagline: Battle of the sorcerers burns the screen with electric flame
Keywords: based on comic
IMDb Rating: 5.1
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 6.038
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: N/A
Country: United States
Language: English",15.0,Peter Hooten,5.1,6.004166666666666,6.603846153846154,6.038
5,The Incredible Hulk,1978,Unknown,Unknown,117.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.75,12.664111228245407,76.0,64.0,Pre-MCU,Pre-MCU,1970s,47,0,0,0,"Science Fiction, Action, Drama",6.727,3.8066624897703196,0.7881,"Bill Bixby, Jack Colvin, Lou Ferrigno, Mariette Hartley, Brian Cutler",Kenneth Johnson,Kenneth Johnson,Joseph Harnell,based on comic,United States of America,English,0.0,0.0,Released,She loved the man... would the beast destroy them?,19.70742255161285,18.603002309079653,19.193787894917058,"Title: The Incredible Hulk
Year: 1978
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: N/A
Rated: nan
Runtime: nan minutes
Genre: nan
Director: nan
Writer: nan
Cast: nan
Top 5 Cast: Bill Bixby, Jack Colvin, Lou Ferrigno, Mariette Hartley, Brian Cutler
Plot: nan
Tagline: She loved the man... would the beast destroy them?
Keywords: based on comic
IMDb Rating: nan
Rotten Tomatoes: nan
Metacritic: nan
TMDB Rating: 6.727
Box Office: nan
Budget: 0
Revenue: 0
Awards: nan
Collection: The Incredible Hulk Collection
Country: nan
Language: nan",13.0,Bill Bixby,6.564705882352942,6.004166666666666,6.603846153846154,6.727
6,Spider-Man Strikes Back,1978,movie,Unrated,90.0,"Action, Family, Fantasy",Ron Satlof,"Robert Janes, Stan Lee","Nicholas Hammond, Robert F. Simon, Chip Fields",Spider-Man swings to the rescue when a nuclear bomb created by three college students falls into criminal hands.,English,United States,Unknown,5.0,7.01301578963963,76.0,64.0,Pre-MCU,Pre-MCU,1970s,47,0,0,0,"Action, Adventure, Family, Fantasy, TV Movie",5.8,4.430816798843313,0.9425,"Nicholas Hammond, Robert F. Simon, Michael Pataki, JoAnna Cameron, Robert Alda",Ron Satlof,"Ron Satlof, Robert Janes",Stu Phillips,"new york city, based on comic, sequel",United States of America,English,0.0,0.0,Released,His greatest challenge...,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Spider-Man Strikes Back
Year: 1978
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: Unrated
Runtime: 90 minutes
Genre: Action, Family, Fantasy
Director: Ron Satlof
Writer: Robert Janes, Stan Lee
Cast: Nicholas Hammond, Robert F. Simon, Chip Fields
Top 5 Cast: Nicholas Hammond, Robert F. Simon, Michael Pataki, JoAnna Cameron, Robert Alda
Plot: Spider-Man swings to the rescue when a nuclear bomb created by three college students falls into criminal hands.
Tagline: His greatest challenge...
Keywords: new york city, based on comic, sequel
IMDb Rating: 5.0
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 5.8
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Spider-Man (TV) Collection
Country: United States
Language: English",15.0,Nicholas Hammond,5.0,6.004166666666666,6.603846153846154,5.8
7,Spider-Man,1978,movie,Unknown,24.0,"Short, Action, Sci-Fi",Kôichi Takemoto,"Stan Lee, Susumu Takaku, Saburo Yatsude","Shinji Tôdô, Izumi Oyama, Rika Miura",Spider-Man teams up with an agent from Interpol to battle against the evil forces of the Iron Cross Army.,Japanese,Japan,Unknown,6.4,5.10594547390058,76.0,64.0,Pre-MCU,Sony / Spider-Man,1970s,47,0,0,0,"Action, Adventure, Family, Fantasy, TV Movie",5.8,4.430816798843313,0.9425,"Nicholas Hammond, Robert F. Simon, Michael Pataki, JoAnna Cameron, Robert Alda",Ron Satlof,"Ron Satlof, Robert Janes",Stu Phillips,"new york city, based on comic, sequel",United States of America,English,0.0,0.0,Released,His greatest challenge...,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Spider-Man
Year: 1978
Universe: Sony / Spider-Man
MCU Phase: Pre-MCU
Type: movie
Rated: N/A
Runtime: 24 minutes
Genre: Short, Action, Sci-Fi
Director: Kôichi Takemoto
Writer: Stan Lee, Susumu Takaku, Saburo Yatsude
Cast: Shinji Tôdô, Izumi Oyama, Rika Miura
Top 5 Cast: Nicholas Hammond, Robert F. Simon, Michael Pataki, JoAnna Cameron, Robert Alda
Plot: Spider-Man teams up with an agent from Interpol to battle against the evil forces of the Iron Cross Army.
Tagline: His greatest challenge...
Keywords: new york city, based on comic, sequel
IMDb Rating: 6.4
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 5.8
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Spider-Man (TV) Collection
Country: Japan
Language: Japanese",15.0,Nicholas Hammond,6.4,6.004166666666666,6.603846153846154,5.8
8,Spider-Man: The Dragon's Challenge,1979,movie,TV-PG,92.0,"Action, Adventure, Crime",Don McDougall,Lionel E. Siegel,"Nicholas Hammond, Robert F. Simon, Chip Fields",The amazing Spider-Man goes to China to help a World War II official accused of treachery.,"Cantonese, English",United States,Unknown,4.7,7.226936018493289,76.0,64.0,Pre-MCU,Pre-MCU,1970s,46,0,0,0,Unknown,6.745,8.745921121024347,8.1973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Spider-Man: The Dragon's Challenge
Year: 1979
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 92 minutes
Genre: Action, Adventure, Crime
Director: Don McDougall
Writer: Lionel E. Siegel
Cast: Nicholas Hammond, Robert F. Simon, Chip Fields
Top 5 Cast: nan
Plot: The amazing Spider-Man goes to China to help a World War II official accused of treachery.
Tagline: nan
Keywords: nan
IMDb Rating: 4.7
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: nan
Box Office: N/A
Budget: nan
Revenue: nan
Awards: N/A
Collection: nan
Country: United States
Language: Cantonese, English",0.0,Unknown,4.7,6.004166666666666,6.603846153846154,6.554427350427351
9,Captain America,1979,movie,TV-PG,97.0,"Action, Adventure, Sci-Fi",Rod Holcomb,"Don Ingalls, Chester Krumholz, Jack Kirby","Reb Brown, Len Birman, Heather Menzies-Urich",A recipient of an experimental body enhancement chemical retaliates against his would be killers as a star spangled superhero.,English,United States,Unknown,3.5,7.886081401775745,76.0,64.0,Pre-MCU,Pre-MCU,1970s,46,0,0,0,"Action, Adventure, Science Fiction, TV Movie",3.983,4.465908118654584,0.9272,"Reb Brown, Len Birman, Heather Menzies, Robin Mattson, Joseph Ruskin",Rod Holcomb,Unknown,"Peter Carpenter, Mike Post","superhero, based on comic, super soldier",United States of America,English,0.0,0.0,Released,Sentinel of Liberty,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Captain America
Year: 1979
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 97 minutes
Genre: Action, Adventure, Sci-Fi
Director: Rod Holcomb
Writer: Don Ingalls, Chester Krumholz, Jack Kirby
Cast: Reb Brown, Len Birman, Heather Menzies-Urich
Top 5 Cast: Reb Brown, Len Birman, Heather Menzies, Robin Mattson, Joseph Ruskin
Plot: A recipient of an experimental body enhancement chemical retaliates against his would be killers as a star spangled superhero.
Tagline: Sentinel of Liberty
Keywords: superhero, based on comic, super soldier
IMDb Rating: 3.5
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 3.983
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Captain America (Reb Brown) Collection
Country: United States
Language: English",15.0,Reb Brown,3.5,6.004166666666666,6.603846153846154,3.983
10,Captain America II: Death Too Soon,1979,movie,TV-PG,83.0,"Action, Adventure, Sci-Fi",Ivan Nagy,"Wilton Schiller, Patricia Payne, Jack Kirby","Reb Brown, Connie Sellecca, Len Birman",The star spangled hero must battle a villain's plan to poison America with a chemical that horrifically accelerates the aging process.,English,United States,Unknown,3.7,7.513709247839705,76.0,64.0,Pre-MCU,Pre-MCU,1970s,46,0,0,0,"Action, Drama, Science Fiction, TV Movie",3.8,4.189654742026425,0.6211,"Reb Brown, Connie Sellecca, Len Birman, Christopher Lee, Katherine Justice",Ivan Nagy,Martin M. Goldstein,"Mike Post, Peter Carpenter","superhero, based on comic",United States of America,English,0.0,0.0,Released,Sentinel of Liberty Returns,19.70742255161285,18.603002309079653,19.193787894917058,"Title: Captain America II: Death Too Soon
Year: 1979
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 83 minutes
Genre: Action, Adventure, Sci-Fi
Director: Ivan Nagy
Writer: Wilton Schiller, Patricia Payne, Jack Kirby
Cast: Reb Brown, Connie Sellecca, Len Birman
Top 5 Cast: Reb Brown, Connie Sellecca, Len Birman, Christopher Lee, Katherine Justice
Plot: The star spangled hero must battle a villain's plan to poison America with a chemical that horrifically accelerates the aging process.
Tagline: Sentinel of Liberty Returns
Keywords: superhero, based on comic
IMDb Rating: 3.7
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 3.8
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Captain America (Reb Brown) Collection
Country: United States
Language: English",15.0,Reb Brown,3.7,6.004166666666666,6.603846153846154,3.8
